class,state_id,identity_label,linked_lineage_ids,state_type,context_or_role,confidence,notes,source_codes
X-Wing,XWS-01,"Blue 1","XW-L1","paint / pre-red state","reference and pre-finish state",High,"Precedes the finished Red 2 hero.","ILM-XW-2025; RPF-XW-TIMELINE"
X-Wing,XWS-02,"Red 1 Hero","XW-L2","hero identity","screen-used",High,"Distinct from the separate Red 1 pyro.","ILM-XW-2025; HA-XW-HERO-2023"
X-Wing,XWS-03,"Red 1 Pyro","XW-L6","pyro identity","screen-used",High,"Start of the best-documented pyro object lineage.","ILM-XW-2025; PS-XW-PYRO-2022"
X-Wing,XWS-04,"Red 2 Hero","XW-L1","hero identity","screen-used",High,"Later state of Blue 1.","ILM-XW-2025"
X-Wing,XWS-05,"Red 3 Hero","XW-L3","hero identity","screen-used",High,"Bespoke hero object.","ILM-XW-2025"
X-Wing,XWS-06,"Red 3 pyro-style later state","XW-L6","repaired / repainted pyro identity","later ANH-period or post-shot redress",High,"Must not be conflated with Red 3 Hero.","ILM-XW-2025; PS-XW-PYRO-2022"
X-Wing,XWS-07,"Red 4 Pyro","XW-L7","pyro identity","screen-used",Medium,"Stable named pyro state.","ILM-XW-2025"
X-Wing,XWS-08,"archive Red 4 grey-over state","XW-L4","later archive/reference state","not proof of separate ANH hero build",High,"Official ILM evidence is stronger than older fan guesses here.","ILM-XW-2025; RPF-XW-TIMELINE"
X-Wing,XWS-09,"Red 5 Hero","XW-L4","hero identity","screen-used",High,"Main Luke hero lineage.","ILM-XW-2025"
X-Wing,XWS-10,"Red 6 Pyro","XW-L8","pyro identity","screen-used",Medium,"Earlier state in the Red 6 -> Red 10 lineage.","ILM-XW-2025"
X-Wing,XWS-11,"Red 10","XW-L8","later pyro identity","screen-used",Medium,"Same evolving lineage as Red 6, per ILM.","ILM-XW-2025"
X-Wing,XWS-12,"Red 12","XW-L9","pyro identity","screen-used",Medium,"High-finish named pyro state.","ILM-XW-2025"
X-Wing,XWS-13,"unmarked or minimally marked crude pyros","XW-L10","crude destruction states","screen-used in explosion work",High,"Family rather than single ship.","ILM-XW-2025; PS-XW-CRUDER-2023"
Y-Wing,YWS-01,"Red Jammer / Red Y-Wing","YW-L1","early paint / reference state","reference and set-build support",Medium-High,"Earlier thread corrections favor Red Jammer or Red Y-Wing over calling it Red Leader.","RPF-YW-ID"
Y-Wing,YWS-02,"Gold Leader","YW-L2","hero identity","screen-used",High,"Best-grounded call-sign assignment in the current Y-wing record.","HA-YW-2024; RPF-YW-ID"
Y-Wing,YWS-03,"TIE Killer","YW-L2","archive / collector nickname","later provenance label",High,"Same physical object as Gold Leader.","HA-YW-2024; RPF-YW-ID"
Y-Wing,YWS-04,"Tiger Sprockets","YW-L3","collector nickname","later provenance label",Medium,"Useful modern handle, not necessarily period ILM naming.","PS-ALJ-YW-2015; RPF-YW-ID"
Y-Wing,YWS-05,"red stripe blue artoo / Magic of Myth / MOM","YW-L4","archive / exhibition handle","archive and touring identity",Medium,"Single preserved object handle; unresolved only whether it is a distinct ANH survivor or another known ship in later archive form.","RPF-YW-ID; USER-YW-MOM-2026-04-16"
Y-Wing,YWS-06,"Triangles","YW-L5","pyro identity","destruction work",Medium,"Treated in the fan record as a distinct recognizable pyro.","RPF-YW-ID; PS-YW-PYRO-2023"
Y-Wing,YWS-07,"generic crude Y-wing pyros","YW-L6","crude destruction states","destruction work",Medium-High,"Family rather than single ship.","RPF-YW-ID; PS-YW-PYRO-2023"
Y-Wing,YWS-08,"lead Y-wing in the trench / first Y-wing Vader destroys","YW-L2 or YW-L3","screen-role claim","contested",Low,"Heritage language points toward Gold Leader / TIE Killer; Propstore blog points toward the Alan Ladd Jr ship.","HA-YW-2024; PS-ALJ-YW-2015"
TIE Fighter,TFS-01,"maroon two-tone test state","TF-L0","test paint state","camera / compositing test",High,"Predates the familiar final grey look.","RPF-TIE-MAROON"
TIE Fighter,TFS-02,"plain-hull ANH state","TF-L1","standard filming state","screen-used",Medium,"Default ANH TIE look from the reviewed evidence.","RPF-TIE-SPOT"
TIE Fighter,TFS-03,"Chronicles marked state","TF-L2","marked filming state","screen-used",Medium,"Includes darker-grey detail work and two small yellow squares above the right cannon.","RPF-TIE-SPOT"
TIE Fighter,TFS-04,"Pentagon TIE state","TF-L1 or TF-L2","temporary or marked state","uncertain",Low-Medium,"Best treated as a state label, not yet as a separate physical object.","RPF-TIE-SPOT"
TIE Fighter,TFS-05,"Edlund damaged-wing state","TF-L3","damage state","screen-used",Medium,"Distinct photographed damage configuration.","RPF-TIE-SPOT"
TIE Fighter,TFS-06,"shot-down pyro states","TF-L4","destruction states","screen-used in explosion work",High,"Confirmed pyrotechnic TIE family rather than one named craft.","PS-TIE-PYRO-2020"
