class,working_id,common_labels,build_type,known_identity_states,anh_status,confidence,notes,source_codes
X-Wing,XW-00,"Colin Cantwell X-wing concept","concept / pre-ILM reference","prototype only","not a filming miniature",High,"First physical X-wing concept; important precursor but not the ILM filming family.","ILM-XW-2025"
X-Wing,XW-H1,"Blue 1; Red 2 Hero","hero / motion-control","Blue 1 -> Red 2","screen-used lineage",High,"First completed ILM X-wing; sent to England as Blue 1 and later finished as Red 2.","ILM-XW-2025"
X-Wing,XW-H2,"Red 1 Hero; Red Leader Hero","hero / motion-control","Red 1","screen-used",High,"One of the four bespoke ANH hero X-wings.","ILM-XW-2025"
X-Wing,XW-H3,"Red 3 Hero; Biggs Hero","hero / motion-control","Red 3","screen-used",High,"Separate bespoke hero build, distinct from the pyro Red 1 later dressed as Red 3.","ILM-XW-2025; PS-XW-PYRO-2022"
X-Wing,XW-H4,"Red 5 Hero; archive Red 4 grey-over","hero / motion-control","Red 5; later archive/reference Red 4 state","screen-used",High,"Hero Red 5 was later photographed with one stripe greyed over to read as Red 4; this should not be treated as a separate ANH hero Red 4 build.","ILM-XW-2025; RPF-XW-TIMELINE"
X-Wing,XW-H5,"unfinished fifth hero","unfinished hero lineage","unfinished only","unclear screen use",Medium,"ILM states there was a fifth unfinished hero example that appears to have stayed with the shop through the OT period.","ILM-XW-2025"
X-Wing,XW-P1,"Red 1 Pyro; later Red 3 configuration","high-finish pyro lineage","Red 1 -> later Red 3 state","screen-used as Red 1",High,"Best-documented pyro lineage: a Red Leader pyro that survived its engine-hit shot and was later dressed as Red 3 for possible later work.","ILM-XW-2025; PS-XW-PYRO-2022"
X-Wing,XW-P2,"Red 4 Pyro","high-finish pyro lineage","Red 4","screen-used",Medium,"Positively listed by ILM among identified pyros, but with less exposed surviving lineage than XW-P1.","ILM-XW-2025"
X-Wing,XW-P3,"Red 6 Pyro; later Red 10 state","high-finish pyro lineage","Red 6 -> later Red 10","screen-used",Medium,"ILM states Red 6 seems to have been detonated and later donated parts to become Red 10.","ILM-XW-2025"
X-Wing,XW-P4,"Red 12 Pyro","high-finish pyro lineage","Red 12","screen-used",Medium,"Listed by ILM among identified pyros; exact physical survival chain remains less visible.","ILM-XW-2025"
X-Wing,XW-PX,"later crude pyros; low-finish pyros","crude pyro family","generic or minimally marked","screen-used in destruction shots",High,"Auction material confirms additional lower-quality, gray-speckled X-wing pyros were built when more destruction models were needed than originally planned.","ILM-XW-2025; PS-XW-CRUDER-2023"
Y-Wing,YW-00,"Colin Cantwell first-pass Y-wing","concept / pre-ILM reference","prototype only","not a filming miniature",Medium,"Useful design origin, not the final ILM filming family.","RPF-YW-ID"
Y-Wing,YW-01,"Red Jammer; Red Y-Wing; first ILM Y-Wing","pre-production / reference miniature","red-striped early build","apparently not screen-used",Medium-High,"First ILM Y-wing from December 1975, sent incomplete to England for set-reference work and later finished.","RPF-YW-ID"
Y-Wing,YW-02,"Gold Leader; TIE Killer","hero filming miniature","Gold Leader","screen-used",High,"Heritage identifies this as one of only two hero Y-wing miniatures and as the model most famous for leading the first trench run before Vader destroys it.","HA-YW-2024; RPF-YW-ID"
Y-Wing,YW-03,"Tiger Sprockets; Alan Ladd Jr Y-Wing","finished filming miniature, hero-like","exact call sign unresolved","screen-used, role disputed",Medium,"Propstore states this gifted Alan Ladd Jr miniature appears in the close-up form-up shot and is the first ship Vader destroys, but that overlaps awkwardly with Heritage's Gold Leader / TIE Killer description.","PS-ALJ-YW-2015; RPF-YW-ID"
Y-Wing,YW-04,"red stripe blue artoo; ILM Touring Hero Y-Wing","finished filming miniature","exact call sign unresolved","probable ANH filming miniature",Medium-Low,"Consistently treated in fan research as an ANH-period finished Y-wing that remained in the archive and later toured, but precise screen identity is unresolved.","RPF-YW-ID"
Y-Wing,YW-05,"Triangles","pyro lineage","Triangles","screen-used in destruction work",Medium,"Fan research treats this as a detonated pyro and possibly a stand-in for a more finished Y-wing.","RPF-YW-ID; PS-YW-PYRO-2023"
Y-Wing,YW-06,"crude nose-mounted pyros; stunt Y-wings","crude pyro or stunt family","generic, often gray-speckled","screen-used in destruction work",Medium-High,"Sources distinguish rougher, permanently mounted Y-wing pyros from the high-finish ships; exploded components confirm such pyros existed physically.","RPF-YW-ID; PS-YW-PYRO-2023"
TIE Fighter,TF-00,"maroon / pink TIE color test","pre-final camera test","maroon two-tone test scheme","test only",High,"A wedge dated 3/6/1976 shows a maroon-painted TIE test hull used for motion blur and compositing evaluation.","RPF-TIE-MAROON"
TIE Fighter,TF-01,"plain-hull ANH TIE family","standard filming miniature family","mostly unmarked light-grey hulls","screen-used",Medium,"Best TIE-specific ANH survey argues that plain hulls with no dark grey accent markings were the norm, which is why ship-by-ship differentiation is difficult.","RPF-TIE-SPOT"
TIE Fighter,TF-02,"Chronicles TIE; likely Vader wingman TIE","distinct finished filming miniature state","dark grey accent details; two yellow squares above right cannon","screen-used",Medium,"Treated in fan research as a specific ANH TIE with darker-grey details and tiny yellow markings, linked by screencap to one of Vader's wingmen.","RPF-TIE-SPOT"
TIE Fighter,TF-03,"Edlund damaged-wing TIE","shot-specific damaged state","damaged solar panel / wing state","screen-used",Medium,"Appears to be a distinct ANH damage-state TIE; unclear whether it was a separate build or a redressed standard hull.","RPF-TIE-SPOT"
TIE Fighter,TF-04,"Pentagon TIE","distinct marked filming miniature state","special front markings","probable screen-used",Low-Medium,"Fan research treats this as a real photographed ANH TIE state rather than a kit-only marking option, but the ID is still less secure than the others.","RPF-TIE-SPOT"
TIE Fighter,TF-05,"pyro TIE wing / strut family","pyro lineage","shot-down explosion components","screen-used in destruction work",High,"Auction material confirms ANH TIE pyros existed physically and that at least some wings were cast from hero moulds, using materials chosen for dramatic breakup.","PS-TIE-PYRO-2020"
TIE Fighter,TF-06,"unfinished TIE production components","production pipeline evidence","bottom hatches; wing collar; blaster light","not a complete variant by itself",High,"Does not prove a separate named TIE, but confirms active casting and assembly of ANH TIE components at ILM.","PS-TIE-COMP-2023"
