pptx_order,file,reviewed,nearest_slide_anchor,visible_subject,likely_program,likely_model_or_scene,likely_date_window,confidence,notes
1,image6.jpg,yes,Sep 1975,"two builders working on a clear or unfinished fighter miniature",fighters,"likely early X-Wing build work","late 1975 to early 1976",High,"Strong workshop-process image; useful for the early X-wing development phase"
2,image1.jpg,yes,Sep 1975,"rear engine cluster of a large saucer-type ship on a bench",hero ships,"likely Millennium Falcon rear or engine area",1976,Medium-High,"Good ship-build evidence, but keep the ID slightly cautious until cross-matched"
3,image5.jpg,yes,Sep 1975,"builder detailing the rear engine area of the same large saucer-type ship",hero ships,"likely Millennium Falcon rear or engine area",1976,Medium-High,"Very likely the same object family as image1.jpg"
4,image19.png,yes,Sep 1975,"builder working on an X-Wing in the Van Nuys shop; later red arrow overlay present",fighters,"X-Wing under construction","late 1975 to early 1976",High,"One of the clearest pure shop-floor X-wing build shots in the PPTX set"
11,image32.jpg,yes,Sep 1975,"file is malformed; cannot be decoded",n/a,n/a,n/a,High,"Omit from HTML image rail unless replaced from a clean source"
12,image31.jpg,yes,Sep 1975,"builder painting or detailing a large dark surface section on a circular base","Death Star","Death Star surface or tile or special section work",1976,Medium-High,"Strong Death Star build evidence, but exact sub-type still open"
16,image42.jpg,yes,Apr 1976,"wooden internal framework for a large saucer-type ship; small wedge ship also on table",hero ships,"probable early Falcon structural build with another miniature nearby","1975 to 1976",Low-Medium,"Very useful image, but keep the ID conservative until cross-matched to a known published caption"
23,image30.jpg,no,Apr 1976,"not yet visually reviewed in this pass",open,open,open,n/a,"keep for second-pass review"
27,image18.jpg,yes,Jul 1976,"Landspeeder miniature in white or primer with pilot and exposed engine pod assembly","ships and vehicles",Landspeeder,1976,High,"Strong miniature identity"
28,image26.jpg,yes,Jul 1976,"Landspeeder miniature in white or primer with pilot; engine pod off to the side","ships and vehicles",Landspeeder,1976,High,"Reads as the same build phase or family as image18.jpg and image24.jpg"
29,image24.jpg,yes,Jul 1976,"Landspeeder in paint-progress on a workbench","ships and vehicles",Landspeeder,1976,High,"Complements the primer-state Landspeeder shots nicely"
31,image23.jpg,yes,Jul 1976,"tracked boxy vehicle maquette with design drawings pinned behind","ships and vehicles","likely Sandcrawler maquette or build stage",1976,Medium-High,"Good process image that links miniature work to design sketches"
34,image13.jpg,yes,Jul 1976,"blurry video frame identifying Dave Jones by on-screen text","people or eyewitness","Dave Jones identification frame","later documentary use of period footage",High,"Better as provenance or people evidence than as model evidence"
35,image14.jpg,yes,Jul 1976,"blurry candid video frame of shop personnel","people or eyewitness","unidentified people in workshop footage","later documentary use of period footage",Low,"Probably useful only if matched against surrounding video context"
37,image17.jpg,yes,Jul 1976,"large ANH capital-ship miniature on a workbench",hero ships,"likely Rebel capital ship program; exact ID not yet locked",1976,Medium,"Strong shop image, but do not force a more exact ID yet"
43,image40.jpg,yes,"Late 1976 or early 1977","group shop photo with multiple X-Wings, Y-Wings, and a TIE visible",fighters,"mixed fighter-program group shot","late 1976 to early 1977",High,"Excellent summary image for the mature battle-program phase"
44,image41.jpg,yes,"Late 1976 or early 1977","row of X-Wings with a builder present and a TIE nearby",fighters,"X-Wing lineup or squadron build display","late 1976 to early 1977",High,"Very strong image for the fleet-in-service phase"
47,image15.jpg,yes,"Late 1976 or early 1977","rear-quarter view of a large ANH capital-ship miniature on a workbench",hero ships,"likely same large ship family as image17.jpg; exact ID still open",1976,Medium,"Keep paired with image17.jpg until the ship identity is closed"
