label_text,label_count,label_statuses,slides,rank,score,kit_id,kit_brand,kit_scale,kit_name,kit_serial,match_reasons
5757 video grabs,1,other_or_unstyled,5757,,,,,,,,NO_MATCH
???,16,other_or_unstyled,Blockade_Runner_02 | Erland_Y | Landspeeders | Sandcrawler_0 2 | Star_Destroyer_right | X_03,,,,,,,,NO_MATCH
Afx. Black Widow,1,identified_in_this_image,ILM_Shop_Top,1,77.2,180,Airfix,1/72,Black Widow,04006-0,"vendor; tokens=airfix,black,widow; name-ratio=1.00"
Afx. Black Widow,1,identified_in_this_image,ILM_Shop_Top,2,43.5,18,Airfix,1/76,Harrow,04652-7,vendor; tokens=airfix
Afx. Black Widow,1,identified_in_this_image,ILM_Shop_Top,3,41.9,199,Airfix / MPC,1/72,Lockheed Hudson,386 / 3-89 / 03006-7 /1403 / 1104-100 / 03006-7,vendor; tokens=airfix
Airfix  Harrow 10x?,2,identified_elsewhere,5757,1,62.8,18,Airfix,1/76,Harrow,04652-7,"vendor; tokens=airfix,harrow; name-ratio=0.75"
Airfix  Harrow 10x?,2,identified_elsewhere,5757,2,45.5,8,Airfix,1/600,Scharnhorst,F406S,vendor; tokens=airfix
Airfix  Harrow 10x?,2,identified_elsewhere,5757,3,44.2,13,Airfix,1/72,Arado Ar 196,02019-0,vendor; tokens=airfix
Airfix 1:24 (?),1,identified_elsewhere,Xwing_back_2,1,54.4,5,Airfix,1/24,Messerschmitt Bf109E,A12002V,vendor; scale; tokens=airfix
Airfix 1:24 (?),1,identified_elsewhere,Xwing_back_2,2,53.0,4,Airfix,1/24,Hawker Hurricane Mk1,14002,vendor; scale; tokens=airfix
Airfix 1:24 (?),1,identified_elsewhere,Xwing_back_2,3,53.0,173,Airfix,1/24,Hawker Harrier,09601-4,vendor; scale; tokens=airfix
Airfix 1:24 Hawker Harrier,1,identified_elsewhere,Wingman,1,91.0,173,Airfix,1/24,Hawker Harrier,09601-4,"vendor; scale; tokens=airfix,harrier,hawker; name-ratio=1.00"
Airfix 1:24 Hawker Harrier,1,identified_elsewhere,Wingman,2,74.9,4,Airfix,1/24,Hawker Hurricane Mk1,14002,"vendor; scale; tokens=airfix,hawker; name-ratio=0.71"
Airfix 1:24 Hawker Harrier,1,identified_elsewhere,Wingman,3,57.6,5,Airfix,1/24,Messerschmitt Bf109E,A12002V,vendor; scale; tokens=airfix
