slide,slide_key,slide_title,picture_count,unique_media_count,same_media_reuse,exact_timeline_match,base_media,base_timeline_media,base_subject,base_scene,green_labels,yellow_labels,other_labels
1,,,0,0,no,no,,,,,0,0,0
2,Pirateship_00,Pirateship_00 Date: ??? Source: xxx,2,1,yes,yes,image6.jpg,image6.jpg,two builders working on a clear or unfinished fighter miniature,likely early X-Wing build work,0,0,0
3,Pirateship_02,Pirateship_02 Date: ??? Source: xxx,1,1,no,no,image16.jpg,,,,1,0,0
4,Pirateship,Pirateship Date: ??? Source: xxx,1,1,no,yes,image5.jpg,image1.jpg,rear engine cluster of a large saucer-type ship on a bench,likely Millennium Falcon rear or engine area,1,0,0
5,ILM_Shop_Top,ILM_Shop_Top Date: ??? Source: xxx,2,1,yes,yes,image2.jpg,image2.jpg,,,10,5,0
6,Blockade _Top,Blockade _Top Date: ??? Source: xxx,2,1,yes,yes,image3.jpg,image4.jpg,,,1,2,0
7,Pirateship_03,Pirateship_03 Date: ??? Source: xxx,2,1,yes,yes,image4.jpg,image9.jpg,,,0,0,0
8,Xwing_back_2,Xwing_back_2 Date: ??? Source: xxx,2,1,yes,no,image7.jpg,,,,2,3,0
9,Landspeeder_02,Landspeeder_02 Date: ??? Source: xxx,2,1,yes,no,image17.jpg,,,,0,1,0
10,Landspeeder_03,Landspeeder_03 Date: ??? Source: xxx,2,1,yes,no,image13.jpg,,,,0,2,0
11,Landspeeder_04,Landspeeder_04 Date: ??? Source: xxx,2,1,yes,no,image23.jpg,,,,1,14,0
12,Tie_Attack,Tie_Attack Date: ??? Source: xxx,3,1,yes,yes,image1.jpg,image12.jpg,,,3,8,0
13,Sandcrawler_right,Sandcrawler_right Date: ??? Source: xxx,2,1,yes,no,image8.jpg,,,,0,8,0
14,Sandcrawler_back,Sandcrawler_back Date: ??? Source: xxx,3,1,yes,yes,image14.jpg,image21.jpg,,,4,10,0
15,Sandcrawler_0 2,Sandcrawler_0 2 Date: ??? Source: xxx,2,1,yes,yes,image9.jpg,image20.jpg,,,0,4,5
16,Tie_Assembly,Tie_Assembly Date: ??? Source: xxx,1,1,no,yes,image11.jpg,image36.jpg,,,1,0,0
17,????,???? Date: ??? Source: xxx,2,1,yes,no,image25.png,,,,0,1,4
18,Star_Destroyer_workbench,Star_Destroyer_workbench Date: ??? Source: xxx,2,2,no,yes,image10.jpg,image29.jpg,,,22,3,1
19,Star_Destroyer_right,Star_Destroyer_right Date: ??? Source: xxx,2,2,no,yes,image18.jpg,image44.jpg,,,1,26,1
20,Star_Destroyer_Stand,Star_Destroyer_Stand Date: ??? Source: xxx,2,1,yes,yes,image15.jpg,image28.jpg,,,1,5,0
21,,,1,1,no,yes,image12.jpg,image46.jpg,,,2,1,0
22,X_03,X_03 Date: ??? Source: xxx,4,2,yes,no,image19.jpg,,,,3,16,1
23,X_03,X_03 Date: ??? Source: xxx,3,1,yes,no,image24.jpg,,,,2,1,0
24,5757,5757 Date: ??? Source: xxx,5,5,no,yes,image33.jpg,image14.jpg,blurry candid video frame of shop personnel,unidentified people in workshop footage,0,10,1
